rule_id,relationship_type,intent,occasion,apology_level,aesthetic_tags,budget_range,urgency,flower_id,fit_score,avoid_reason,note
rule-234,crush,confession,,,,1-2,normal,primula,78,,meanings:primula/suncheonbay-birth-flowers 흰 프리뮬러='첫사랑' · greenaway-1884 '이른 청춘' · stories:story-primula-primrose-day-favourite
rule-235,,just_because,,,,1-2,normal,primula,72,,meanings:primula/ncstate-primula-polyantha '가장 먼저 피는 꽃이라는 이름' · stories:story-primula-sakurasou-edo-stage(intents=just_because)
rule-236,,celebration,,,,1-2,normal,primula,,원전이 갈리는 꽃이라 축하 자리에서 '이른 슬픔' 쪽으로 읽힐 수 있다,meanings:primula/dumont-1851 '이른 슬픔'(varies) 의 caution_note '축하 자리에는 어울리지 않는 꽃말이에요' 를 그대로 옮겼다
rule-237,spouse,anniversary,,,,1-2,normal,stock,84,,meanings:stock/dumont-1851 '영원한 아름다움'(repeated) · hanakotoba-yurai-stock '애정의 끈'(repeated)
rule-238,crush,confession,,,,1-2,normal,stock,76,,meanings:stock/hanakotoba-yurai-stock 흰 스토크='남몰래 품은 사랑' · 향 3단계라 향 민감 시 EX_FRAGRANCE 가 먼저 거른다
rule-239,,celebration,,,,2-3,normal,delphinium,76,,meanings:delphinium/hanakotoba-yurai-delphinium '청명 — 맑고 밝음'(repeated) · stories:story-delphinium-chelsea-every-year(intents=celebration|just_because)
rule-240,,just_because,,,,2-3,normal,delphinium,72,,meanings:delphinium/dumont-1851 '자유로운 상상' · wikipedia-delphinium '돌고래를 닮은 꽃뿔'(repeated) · stories:story-delphinium-navajo-dye-refused(intents=gratitude|just_because)
rule-241,,apology,,,,2-3,normal,delphinium,,'가벼움'과 '변덕'이 꽃말이라 사과 자리에서 정확히 반대 신호가 된다,meanings:delphinium/greenaway-1884 '가벼움 — 들뜬 마음' 의 caution_note '가볍다는 말이 칭찬으로 읽히지 않을 수 있어요' · 분홍은 '변덕'
rule-242,,celebration,,,,3,normal,amaryllis,80,,meanings:amaryllis/greenaway-1884 '자랑스러움'(repeated) · hanakotoba-yurai-amaryllis '눈부신 아름다움'(repeated) · stories:story-amaryllis-watchmaker-fire(intents=gratitude|celebration) — 가격대 3 이라 격식 있는 자리에만 선다
rule-243,lover,confession,,,,3,normal,amaryllis,72,,stories:story-amaryllis-theocritus-ten-apples(사과 열 개를 들고 동굴 앞에서 · intents=confession|just_because) · 옛 꽃말의 주인이 벨라돈나릴리 쪽이라는 caution_note 가 두 행에 붙어 낮게 잡았다
rule-244,,comfort,,,,1-2,normal,cornflower,78,,stories:story-cornflower-tutankhamun-wreath(intents=comfort) · stories:story-cornflower-bleuet-de-france · meanings:cornflower/wikipedia-centaurea-cyanus '기억 — 돌아오지 못한 이들을 위해'(france)
rule-245,,gratitude,remembrance,,,1-2,normal,cornflower,72,,stories:story-cornflower-bleuet-de-france(intents=comfort|gratitude) · 다만 같은 꽃이 정치적 상징으로도 읽힌다는 caution_note 가 있어 나라를 가리는 자리에서는 조심해야 한다
rule-246,,celebration,graduation,,,1-2,normal,crocus,78,,meanings:crocus/greenaway-1884 '청춘의 기쁨'(repeated) · suncheonbay-birth-flowers '후회 없는 청춘'(repeated) · 2~4월에만 나와 봄의 새 출발 자리와 겹친다
rule-247,crush,confession,,,,1-2,normal,crocus,76,,meanings:crocus/hanakotoba-yurai-crocus '간절함' · greenaway-1884 '지나치지 마세요' · wikipedia-crocus '스밀락스를 사랑하다 꽃이 된 크로코스'
rule-248,,comfort,,,,2-3,normal,water-lily,70,,stories:story-water-lily-monet-armistice(휴전 이튿날 총리에게 보낸 편지 · intents=comfort|gratitude) · meanings:water-lily/greenaway-1884 '맑고 깨끗한 마음'(repeated) — 수반에 띄우는 꽃이라 건네는 형태가 드물어 낮게 잡았다
rule-249,friend,gratitude,,,,1-2,normal,alstroemeria,84,,meanings:alstroemeria/hanakotoba-yurai-alstroemeria '우정과 헌신'(western·repeated) · stories:story-alstroemeria-florist-fingertips(intents=gratitude)
rule-250,spouse,anniversary,,,,1-2,normal,alstroemeria,76,,meanings:alstroemeria/hanakotoba-yurai-alstroemeria '오래 가는 마음 — 지속' · wikipedia-hanakotoba '말로 다 못 할 만큼 깊은 인연' — 둘 다 단일 출처라 우정 쪽(rule-249)보다 낮다
rule-251,,comfort,recovery,,,1-2,normal,alstroemeria,70,,stories:story-alstroemeria-liuto-chuno(아픈 사람에게 먹이던 뿌리 · intents=comfort) — 먹는 쓰임이라 선물 자리로는 한 단계 건너뛴 해석이다
rule-252,,celebration,housewarming,,,2-3,normal,anthurium,78,,meanings:anthurium/hanakotoba-yurai-anthurium '따뜻한 환대'(western) · 화분으로 오래 가는 종이라 개업·집들이 자리에 선다
rule-253,lover,confession,,,,2-3,normal,anthurium,72,,meanings:anthurium/hanakotoba-yurai-anthurium 붉은 안스리움='정열' · '사랑에 애타는 마음' — 이 꽃의 꽃말 여섯 줄이 전부 단일 출처라 낮게 잡았다
rule-254,crush,confession,,,,2-3,normal,gardenia,78,,meanings:gardenia/wikipedia-hanakotoba '남몰래 품은 사랑' · hanakotoba-yurai-kuchinashi '무도회에 초대받은 마음'(usa — 코르사주 관습) · 향 3단계라 향 민감 시 EX_FRAGRANCE 가 먼저 거른다
rule-255,,celebration,,,,2-3,normal,gardenia,76,,meanings:gardenia/greenaway-1884 '나는 더없이 행복합니다'(repeated) · suncheonbay-birth-flowers '한없는 즐거움'(repeated)
rule-256,,comfort,,,,1-2,normal,statice,74,,meanings:statice/hanakotoba-yurai-statice '위로 — 서양이 읽는 스타티스' · '끊기지 않는 기억' — 다만 다발의 주인공이 아니라 곁들이라 낮게 잡았다
rule-257,,celebration,,,,1-2,normal,statice,,애도 자리에서 오래 쓰인 꽃이라 축하 자리에서는 뜻이 어긋난다,meanings:statice/hanakotoba-yurai-statice 의 caution_note '애도 자리에서 오래 쓰인 말이라 축하 자리에서는 뜻이 어긋날 수 있어요' 를 그대로 옮겼다
rule-258,,gratitude,womens-day,,,2-3,normal,mimosa,84,,meanings:mimosa/wikipedia-acacia-dealbata '여성의 날에 건네는 꽃'(italy·repeated) · stories:story-mimosa-1946-free-flower(intents=gratitude|celebration) · stories:story-mimosa-wax-stencil(intents=gratitude)
rule-259,crush,confession,,,,2-3,normal,mimosa,74,,meanings:mimosa/hanakotoba-yurai-mimosa '비밀스러운 사랑'(repeated) — greenaway-1884 줄은 caution_note 대로 신경초(Mimosa pudica)의 꽃말이라 근거로 쓰지 않았다
rule-260,lover,confession,,,,2-3,normal,bouvardia,74,,meanings:bouvardia/hanakotoba-yurai-bouvardia '정열'(repeated) — 이 꽃에서 repeated 등급인 꽃말은 이 한 줄뿐이다
rule-261,friend,just_because,,,,2-3,normal,bouvardia,70,,meanings:bouvardia/hanakotoba-yurai-bouvardia '오가는 마음 — 사귐'(single_source) — 단일 출처라 낮다
rule-262,,comfort,,,,2-3,normal,scabiosa,82,,meanings:scabiosa/greenaway-1884 '홀로 남은 사람의 꽃' · hanakotoba-yurai-scabiosa '나는 모든 것을 잃었습니다'(repeated) · stories:story-scabiosa-mourning-bride(intents=comfort)
rule-263,,celebration,,,,2-3,normal,scabiosa,,애도 자리에서 오래 쓰인 꽃이라 축하 자리에는 어울리지 않는다,meanings:scabiosa/greenaway-1884 의 caution_note '애도 자리에서 오래 쓰인 말이라 축하 자리에는 어울리지 않아요' 를 그대로 옮겼다
rule-264,,confession,,,,2-3,normal,scabiosa,,'이루지 못한 사랑'이 꽃말이라 고백 자리에서 정반대로 읽힌다,meanings:scabiosa/greenaway-1884 '이루지 못한 사랑'(repeated) · hanakotoba-yurai-scabiosa '나는 모든 것을 잃었습니다'(repeated)
rule-265,,comfort,hardship,,,2-3,normal,plum-blossom,82,,meanings:plum-blossom/wikipedia-ko-maesil '추위에 굴하지 않는 절개'(korea·repeated) · stories:story-plum-toegye-water-the-plum(intents=comfort|just_because)
rule-266,spouse,anniversary,,,,2-3,normal,plum-blossom,76,,meanings:plum-blossom/hanakotoba-yurai-ume '충실 — 날아온 매화' · '약속을 지키는 사람'(western) — greenaway-1884 줄은 caution_note 대로 유럽 자두의 꽃말이라 근거로 쓰지 않았다
rule-267,,celebration,new-year,,,2-3,normal,plum-blossom,74,,stories:story-plum-reiwa(연호가 매화 잔치에서 나왔습니다 · intents=celebration|just_because) · 1~4월에만 나오는 가지라 나머지 달은 계절 점수 S 가 알아서 내린다
rule-268,,comfort,,,,1-2,normal,azalea,76,,stories:story-azalea-dugyeon-bird(새가 토한 피가 꽃을 물들였다 · intents=apology|comfort) · stories:story-azalea-sowol-first-edition · meanings:azalea/wikipedia-hanakotoba '참을성 있고 겸손함'(repeated)
rule-269,crush,confession,,,,1-2,normal,azalea,72,,meanings:azalea/suncheonbay-birth-flowers '사랑의 희열'(korea·repeated) · hanakotoba-yurai-tsutsuji 흰 진달래='첫사랑' — 일본의 ツツジ 가 철쭉류까지 가리킨다는 caution_note 가 붙어 낮게 잡았다
rule-270,,apology,,2,,1-2,normal,azalea,70,,stories:story-azalea-dugyeon-bird 의 intents 에 apology 가 붙어 있다 · 다만 소월의 「진달래꽃」은 보내는 자리의 시라 사과보다 배웅에 가깝다 — 해석이 갈려 낮게 잡았다
rule-271,,comfort,,,,1-2,normal,cotton,76,,meanings:cotton/lovegreen-cotton '나를 감싸 주세요' · stories:story-cotton-manchester-1862(intents=gratitude|comfort)
rule-272,,gratitude,,,,1-2,normal,cotton,70,,stories:story-cotton-manchester-1862(굶으면서 봉쇄를 지지한 사람들 · intents=gratitude|comfort) · 꽃말 '우수'는 한자가 優秀/憂愁 로 갈린다는 caution_note 가 있어 근거로 쓰지 않았다
